,id,county,total_pct_below_pov,error_total_pct_below_pov,under18_pct_below_pov,error_under18_pct_below_pov,under05_pct_below_pov,error_under05_pct_below_pov,age05to17_pct_below_pov,error_age05to17_pct_below_pov,total_185pct_poverty,error_total_185pct_poverty
1,0500000US17001,"Adams County, Illinois",12.1,1.2,16.3,2.6,16.5,3.7,16.2,3.1,(X),(X)
2,0500000US17003,"Alexander County, Illinois",30.2,4.7,52.4,9.8,60.0,18.1,49.2,9.6,(X),(X)
3,0500000US17005,"Bond County, Illinois",14.5,3.2,18.9,6.8,28.7,13.3,15.9,5.9,(X),(X)
4,0500000US17007,"Boone County, Illinois",11.0,1.7,16.4,3.6,26.0,7.0,13.7,4.0,(X),(X)
5,0500000US17009,"Brown County, Illinois",10.0,3.4,12.6,8.4,20.0,13.9,10.0,7.1,(X),(X)
6,0500000US17011,"Bureau County, Illinois",12.6,1.4,23.7,4.0,27.5,7.7,22.5,4.0,(X),(X)
7,0500000US17013,"Calhoun County, Illinois",12.8,2.6,18.4,6.2,19.8,9.2,17.9,7.1,(X),(X)
8,0500000US17015,"Carroll County, Illinois",11.1,1.7,13.5,4.1,21.7,8.7,10.6,3.6,(X),(X)
9,0500000US17017,"Cass County, Illinois",13.5,2.7,16.2,5.5,24.3,9.1,13.2,5.4,(X),(X)
10,0500000US17019,"Champaign County, Illinois",20.9,0.9,18.1,2.0,21.1,2.9,16.8,2.1,(X),(X)
11,0500000US17021,"Christian County, Illinois",13.0,1.7,16.5,3.8,18.4,7.1,15.9,3.7,(X),(X)
12,0500000US17023,"Clark County, Illinois",12.6,2.6,19.6,5.7,17.5,7.0,20.3,6.8,(X),(X)
13,0500000US17025,"Clay County, Illinois",16.0,2.7,20.5,6.4,32.7,14.5,16.5,5.5,(X),(X)
14,0500000US17027,"Clinton County, Illinois",9.0,1.5,11.6,3.7,9.6,4.0,12.2,4.5,(X),(X)
15,0500000US17029,"Coles County, Illinois",21.5,1.9,25.6,4.7,24.6,5.6,26.0,5.8,(X),(X)
16,0500000US17031,"Cook County, Illinois",15.1,0.2,21.7,0.5,22.1,0.7,21.6,0.5,(X),(X)
17,0500000US17033,"Crawford County, Illinois",11.6,2.1,11.7,3.8,14.5,6.9,10.6,4.1,(X),(X)
